Disentangle VAE Training...
Training config: {'encoder': 'vae_encoder', 'decoder': 'vae_decoder', 'use_gan': True, 'use_ema': True, 'latent_dim': 256, 'lpips_weight': 0.8, 'kl_weight': 0.2, 'vq_loss_weight': 1.0, 'gan_weight': 0.5, 'train_stage': 'VAE', 'img_size': 128, 'train_data_root': './data/train', 'val_data_root': './data/val', 'batch_size': 32, 'epochs': 5000, 'lr': 0.0001, 'checkpoint_interval': 500, 'resume_ckpt': '', 'in_channels': 1, 'val_interval': 5000, 'train_log_interval': 100, 'lr_scheduler': 'linear-warmup_cosine-decay', 'warmup_epochs': 10, 'min_lr': 1e-05, 'kl_anneal': {'enabled': True, 'start_epoch': 0, 'end_epoch': 100}, 'gradient_clip_val': 1.0, 'lecam_weight': 0.1}
Using device: cuda
Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /scratch/gz2199/calli_env/lib/python3.9/site-packages/lpips/weights/v0.1/vgg.pth
Using GAN: True, EMA: True
No checkpoint found or resume_ckpt not specified.
Found 79999 images in dataset.
[Epoch 0] Avg Loss: 0.7119
[Validation] L2: 0.0870, LPIPS: 0.1414
[Epoch 1] Avg Loss: 0.3558
[Epoch 2] Avg Loss: 0.2273
[Validation] L2: 0.0556, LPIPS: 0.0919
[Epoch 3] Avg Loss: 0.1896
[Epoch 4] Avg Loss: 0.1111
[Validation] L2: 0.0364, LPIPS: 0.0559
[Epoch 5] Avg Loss: 0.0781
[Epoch 6] Avg Loss: 0.0774
[Validation] L2: 0.0326, LPIPS: 0.0441
[Epoch 7] Avg Loss: 0.0989
[Epoch 8] Avg Loss: 0.1124
[Validation] L2: 0.0275, LPIPS: 0.0378
[Epoch 9] Avg Loss: 0.1223
[Epoch 10] Avg Loss: 0.0980
[Validation] L2: 0.0255, LPIPS: 0.0342
[Epoch 11] Avg Loss: 0.0971
[Epoch 12] Avg Loss: 0.0762
[Validation] L2: 0.0261, LPIPS: 0.0359
[Epoch 13] Avg Loss: 0.0922
[Epoch 14] Avg Loss: 0.0593
[Validation] L2: 0.0259, LPIPS: 0.0336
[Epoch 15] Avg Loss: 0.0773
[Epoch 16] Avg Loss: 0.0544
[Validation] L2: 0.0255, LPIPS: 0.0341
[Epoch 17] Avg Loss: 0.0759
[Epoch 18] Avg Loss: 0.1195
[Validation] L2: 0.0242, LPIPS: 0.0320
[Epoch 19] Avg Loss: 0.0993
[Epoch 20] Avg Loss: 0.0828
[Validation] L2: 0.0271, LPIPS: 0.0354
[Epoch 21] Avg Loss: 0.0767
[Epoch 22] Avg Loss: 0.0681
