Disentangle VAE Training...
Training config: {'encoder': 'vae_encoder', 'decoder': 'vae_decoder', 'use_gan': True, 'use_ema': True, 'latent_dim': 256, 'lpips_weight': 0.8, 'kl_weight': 0.2, 'vq_loss_weight': 1.0, 'gan_weight': 0.2, 'train_stage': 'VAE', 'img_size': 128, 'train_data_root': './data/train', 'val_data_root': './data/val', 'batch_size': 32, 'epochs': 5000, 'lr': 0.0001, 'checkpoint_interval': 500, 'resume_ckpt': '', 'in_channels': 1, 'val_interval': 5000, 'train_log_interval': 100, 'lr_scheduler': 'linear-warmup_cosine-decay', 'warmup_epochs': 10, 'min_lr': 1e-05, 'kl_anneal': {'enabled': True, 'start_epoch': 0, 'end_epoch': 100}, 'gradient_clip_val': 1.0, 'lecam_weight': 0.1}
Using device: cuda
Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /scratch/gz2199/calli_env/lib/python3.9/site-packages/lpips/weights/v0.1/vgg.pth
Using GAN: True, EMA: True
No checkpoint found or resume_ckpt not specified.
Found 79999 images in dataset.
[Epoch 0] Avg Loss: 0.5878
[Validation] L2: 0.0748, LPIPS: 0.1266
[Epoch 1] Avg Loss: 0.2652
[Epoch 2] Avg Loss: 0.1980
[Validation] L2: 0.0446, LPIPS: 0.0759
[Epoch 3] Avg Loss: 0.1388
[Epoch 4] Avg Loss: 0.1050
[Validation] L2: 0.0343, LPIPS: 0.0494
[Epoch 5] Avg Loss: 0.0800
[Epoch 6] Avg Loss: 0.0816
[Validation] L2: 0.0307, LPIPS: 0.0420
[Epoch 7] Avg Loss: 0.0808
[Epoch 8] Avg Loss: 0.0755
[Validation] L2: 0.0270, LPIPS: 0.0369
[Epoch 9] Avg Loss: 0.0776
[Epoch 10] Avg Loss: 0.0743
[Validation] L2: 0.0260, LPIPS: 0.0349
[Epoch 11] Avg Loss: 0.0795
[Epoch 12] Avg Loss: 0.0735
[Validation] L2: 0.0268, LPIPS: 0.0352
[Epoch 13] Avg Loss: 0.0768
[Epoch 14] Avg Loss: 0.0796
[Validation] L2: 0.0283, LPIPS: 0.0367
[Epoch 15] Avg Loss: 0.0809
[Epoch 16] Avg Loss: 0.0840
[Validation] L2: 0.0294, LPIPS: 0.0362
[Epoch 17] Avg Loss: 0.0853
[Epoch 18] Avg Loss: 0.0830
[Validation] L2: 0.0274, LPIPS: 0.0369
[Epoch 19] Avg Loss: 0.0865
[Epoch 20] Avg Loss: 0.0884
[Validation] L2: 0.0305, LPIPS: 0.0384
[Epoch 21] Avg Loss: 0.0925
[Epoch 22] Avg Loss: 0.0860
